"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF"
"1",0.304232981257789,1.54271977624473,1.15858722382264,0.245165348899009,0.00419556672568433,0.0833458084150543,0.265767205655959
"2",1.28741539260089,2.26436038722466,2.10599377123164,1.99589691813902,0.62372200191021,0.480526493904396,1.40946707408502
"3",0.341510831259144,1.8204401831029,1.19079546762318,0.43535021616999,1.19285790883214,0.937079002011403,0.357931543286963
"4",0.738841995075078,1.90703848978565,1.53160310953072,0.105718322382209,0.391881307587028,0.227770036541962,0.106062023106636
"5",0.586462883124312,1.67992559036007,1.32939864609515,0.48517777497639,0.3884352510795,0.32097030755817,0.150401074326625
"6",0.706667874271278,1.80263564794666,1.38305101297867,0.277646450519733,0.148477836046368,0.126962152776342,0.261691292380447
"7",0.575210655977087,2.10842657451835,1.41199687871212,0.0607634700480957,0.0894379219971597,0.069762377615194,0.265793424247984
"8",0.521368503990612,1.97456303569773,1.14400237044503,0.3040349178058,0.964836683124304,0.476711535682214,0.362968992790882
"9",0.615619633956861,1.33256964107925,1.16563132031305,0.427635572783851,0.0186018078238703,0.288132319767369,0.363652415823566
"10",0.74321061338333,1.79993684585523,1.5779842211196,0.816771366930506,0.65440465696156,0.45730384896023,0.367731033101833
"11",0.393955286380293,1.5757661920152,1.1774847423081,0.358192329383978,0.683506904169917,0.362514385365023,0.160581378220568
"12",0.612407389467724,1.73304344367323,1.34943924828877,0.291012771061284,0.499214138835669,0.294275140278679,0.842718303593077
"13",0.899001358565631,1.99046690638459,1.69006520260004,0.670126019647446,0.118940195534378,0.280313040780139,0.561196889441641
"14",1.0588892738016,2.35911805426775,1.90276315608447,0.79990814156843,0.832581566298543,0.689004589802012,0.443027796334762
"15",0.336234875814422,1.34342302791656,0.982651232848376,0.0446038578425292,0.233222264796495,0.0583301655171182,0.0650735786500606
"16",0.713743278787311,1.55613663741189,1.28732257012041,0.549822527229155,0.255780690349638,0.466902337549794,0.353230917981807
"17",0.868690174915424,2.09016264611787,1.84527126792729,1.58432374247789,0.735523458570242,0.576072175471426,0.404395168274927
"18",1.53376262183785,2.2399778505647,1.96634964473633,1.35018571614851,1.54806794598699,1.50015004603234,1.28293044105926
"19",0.87785041479079,2.02423077706046,1.67426620357804,0.460924501224113,1.2826164253056,0.860819199982753,0.49747382062305
"20",1.20167661328994,1.76720509633058,1.54090889854685,1.24978519992343,0.939203146845102,1.03170871106584,0.681229815875504
"21",0.504447910933542,1.38849241956125,1.03816804323225,0.173858875089759,0.463603483512998,0.257943680586727,0.335819890114107
"22",0.944724851795781,2.20143243685955,1.85673221777873,0.658811131933835,1.91308730426966,0.864043572233282,0.536115514830826
"23",0.987724255107391,1.82611386387194,1.55015774090574,0.802067055973457,0.702329492196441,0.741534860700865,0.868797404950739
