CMGP,NSGP,Logistic
0.058275802852749095,0.05833345360057268,0.13937554525772605
0.010831068556759301,0.01174703023200573,0.08332017393333613
0.01574581600810569,0.015769208100030817,0.14011255319011154
0.013716899111062792,0.013736050270400143,0.07422770519841833
0.049001482942706925,0.026919561614712123,0.10436646723209889
0.021283290864264656,0.06434642680736878,0.07187191408317234
0.023656793954434045,0.06570846185761169,0.07731267669441669
0.017339654777658236,0.017399462340170743,0.10117138863347015
0.07563277648373014,0.019192619559323654,0.07451696604585685
0.05470968594702953,0.13470922134803065,0.1497064693860921
0.09458758610979456,0.042058465339688475,0.18772212842084868
0.03221995294473044,0.031011882822400992,0.09734195351502377
0.028780875154506464,0.029071719767820164,0.12495083473184675
0.03900022375114966,0.038824028382351314,0.06865579560176868
0.1208835077618374,0.12073166880799832,0.12526387783182819
0.06209260002842434,0.06220983911286865,0.09199841310657515
0.05873372700780782,0.05863847800721893,0.1011220111417886
0.038013974664453345,0.04033705012916282,0.07223143351051374
0.008131517233259883,0.008056564790502594,0.04440409010794244
0.061883638168265455,0.06374676799989396,0.12963099222872126
2.437162628625116e-05,0.00024541648668039746,0.07896074041700636
0.06841088337070106,0.022738992212015984,0.1073668507573007
0.010640219920817208,0.010640981361606941,0.06768358664445923
0.10745866679805004,0.10688355807942042,0.11425436132304594
0.03676250990784356,0.13471174015945203,0.16110581688254869
0.06628792950305654,0.06631273113927984,0.09250363830897218
0.05999641946221087,0.05943495468218878,0.1664553525786161
0.057906199812602345,0.057939443803768115,0.11397822803541952
0.08938177955028509,0.08941749584828536,0.0897056240417863
0.027082890548975464,0.027175372319295434,0.07518855134967527
0.03356467360286897,0.03294996759933097,0.07745349227399424
0.01817141586910811,0.018770253622369594,0.13405453088690575
0.027992415856003868,0.01264425632270087,0.07137408755026531
0.018981280589242013,0.021253841175473447,0.11106101618194646
0.04627323085796681,0.04628012553784989,0.07052023241218869
0.08034625464012693,0.08032045884899083,0.13961895071999833
0.015529243368942697,0.013717127335077461,0.04955278761359273
0.015986802475590336,0.013748176065680736,0.1222063272250935
0.0693659828080136,0.06937584374517407,0.07561997439718268
0.08755210951956381,0.09071969997668197,0.12017952653674151
0.026275740832295752,0.026249452956990438,0.03187693949161299
0.05379010604276813,0.05317124974459226,0.06665297409807357
0.04555937176528835,0.06358349614891992,0.08119467220812981
0.0815534922172678,0.08345161655722409,0.16626035016614038
0.03291985122001873,0.032905774664117274,0.07754494601379985
0.0041388757419805215,0.004345389208836518,0.04625220947009647
0.06357233351119666,0.06360425617572003,0.11376508184612362
0.04868430658320458,0.0486522642554557,0.09586648168529743
0.028748458426666183,0.028708299718627928,0.11321861770303414
0.006282134923947722,0.00671798397335918,0.14093660399611593
0.011805464253595722,0.08995990044852101,0.11482292761126948
0.06683231109285993,0.08833862635358163,0.07116742432009532
0.0015861729936625098,0.0010781648005163031,0.06465379174090813
0.011760036064377267,0.08651765762868648,0.11680631151381962
0.04018406604040488,0.03998903997564034,0.052572857717069495
0.015493781243931297,0.015465063267594514,0.04080777135119659
0.018887125013284954,0.019030346628768367,0.11659703450014375
0.008217708412157946,0.08012488022752283,0.10014211344367745
0.023152321923406233,0.023204515669338524,0.08130442550064837
0.031854684584385805,0.03233448209610914,0.06863890104518149
0.026143067236196547,0.14487407853008918,0.1165324107681636
0.004686348884779178,0.004683790889054535,0.08530581920968672
0.03124718542432278,0.03624333385522159,0.09612871453324427
0.052550053912686696,0.04974927084292658,0.07512903262059689
0.0017430468393108552,0.0027800940942022427,0.10394757614709496
0.03616881459664991,0.03605292010613951,0.08676904605894534
0.06424233933423859,0.05331617982950472,0.08450536888562807
0.013912727592984573,0.014054146499145924,0.0369391145088254
0.04112658538072801,0.041007036146398,0.11482958862982817
0.044647626928010956,0.06933499460415471,0.09648244049308537
0.003203602368292396,0.09919600273535921,0.09805344979952665
0.018732936750580298,0.018844930829964187,0.06870760868197923
0.05426840498865854,0.054185731121693066,0.07483548318838157
0.012391506046842476,0.012412948415660487,0.10984511684262176
0.0755152482262452,0.0754915280580266,0.0978503854244478
0.029620993737210773,0.03290177472320068,0.09956613877351475
0.029086713561981243,0.029097634666553688,0.12047082751653353
0.0678650621599602,0.06788194443315967,0.13373395148856335
0.05295379477813948,0.058343385435527424,0.09653296461195128
0.04184593836036645,0.06613746142387424,0.06787400235958603
