"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF","S-RF","T-RF","X-RF"
"1",-2.98030524487852,-2.99308150437681,-2.77778506557806,-2.88362923723636,-6.39210263893398,-3.76714569988592,-1.62286031388051,-1.90346331140141,-3.20139290675036,-3.16367286738996
"2",-1.83954442372543,-2.14262265018199,-1.83699562201268,-1.65922484375959,-6.72954021531515,-2.10664757142382,-0.797882683350644,-1.21578561870948,-2.20316249067369,-2.10216978569403
"3",-1.7408859604704,-2.13043151072842,-1.79555272352645,-1.69940633376612,-6.88389405642393,-1.60581008541952,-0.743792064924635,-1.23914935266019,-2.56368176259056,-1.04818407203646
"4",-2.83483080533647,-3.11972884459816,-2.86187178497379,-2.65193486305282,-7.03873908366505,-2.79527623083635,-1.50542659093418,-1.92563391014391,-2.98534054247521,-2.49864383160123
"5",-2.28283683075166,-2.465288283486,-2.31814980852261,-2.26390512866742,-5.83227093807496,-2.68872565184072,-1.16874290547493,-1.43630387545292,-2.68744178178238,-2.23875121018629
"6",-2.33015309533491,-2.40041174909029,-2.00316027715283,-2.25309365662669,-4.58636633726053,-2.21045722792278,-1.06356520327934,-1.26890684013086,-2.41229151417763,-2.09225643203588
"7",-3.17353424247786,-3.92165757450521,-3.38694387871787,-2.60481293225804,-6.2573896508443,-2.71327075761881,-1.77409703670546,-1.92018651663933,-4.06182361959244,-2.86940245748815
"8",-1.84315416044142,-2.14935013186409,-1.85168480027169,-1.56341600048577,-5.72698608468701,-1.71008841566665,-0.907930569192424,-0.937187246609201,-2.39299547756633,-1.35677629242335
"9",-3.09100869946962,-3.24408473105495,-2.85322184170443,-2.90875118249618,-7.04232515309774,-3.18616793784058,-2.14429880368371,-2.11213897323977,-3.41153290478222,-2.52666233189539
"10",-2.1153497097557,-2.6203729794499,-2.13144321059576,-1.98303367087471,-6.36985992528992,-2.07452199843151,-1.04974705084775,-1.08919284387561,-2.86236326555228,-1.36109866829977
"11",0.164797962216731,0.0596195575832891,0.217995120936412,0.286828207178507,-4.86033406658618,-0.0896305333312445,0.0297767044782677,-0.153447781729868,0.256087857245875,0.756672315043141
"12",-2.11859945038131,-2.20607963445558,-2.110647320563,-1.94434360825515,-5.91379662100244,-1.98948264733246,-0.984197148301909,-1.42176887954872,-2.62428393141832,-1.35183703631267
"13",-2.58013515124568,-2.35541186498695,-2.48083124798128,-2.40307900258012,-8.33783290351186,-2.93843054141761,-1.70300241246302,-1.29214059029307,-2.04509536971103,-2.51920624676055
"14",-3.9780127409855,-4.04219099243123,-3.90344419721883,-3.90732178293607,-8.46821650013679,-4.17008355201536,-2.36167462759675,-2.17587193149832,-3.7334652369427,-3.67707678174696
"15",-0.740829990589249,-1.02370160770861,-0.848639498389448,-0.658403233554038,-5.63558739365621,-0.648881476338087,-0.394759009915421,-0.659926831064372,-1.24549979701737,-1.02677705756831
"16",-0.475831848688162,-0.310296782256858,-0.282761709281048,-0.580512954614207,-4.98462222911793,-0.793593360191451,-0.337799718950966,-0.431502989850267,-0.141513871835963,-0.413960153323917
"17",-1.8659296567116,-2.20956305130037,-1.87550470138318,-1.86667024802021,-6.25072504301664,-2.08316422535176,-1.16581654839953,-1.32626494376269,-2.72739916973937,-2.23216269003579
"18",-0.520553609379796,-1.05789924812908,-0.435037785717734,-0.347887512542585,-5.29932214354376,-0.15423115208654,-0.344161640126462,-0.445193935624897,-0.538665074123045,0.612899097399563
"19",-3.99995612983447,-4.11897570308676,-3.86558554041884,-3.61912484207059,-7.0381364464769,-4.33343879950812,-2.60367575473729,-2.76224148162241,-4.07168816787351,-3.76811592542369
"20",-1.28909013244774,-1.5036411920213,-1.00927476883931,-1.2478174120772,-4.07500627049494,-0.984783561724278,-0.539069697344417,-0.719100829298664,-1.35690760506583,-0.599296625508651
"21",-1.08906119147377,-1.48961016969246,-0.92864945584366,-0.663157706578636,-3.68262266964904,-1.22497623593594,-0.339376850981805,-0.848445332056827,-1.77338410126207,0.416612895455768
"22",-1.95088830800106,-2.38555740795639,-1.83586059740411,-1.72399726196594,-6.95179710846871,-2.14155449929675,-0.928951807912986,-1.29965534175163,-2.65448543450465,-2.03503522093408
"23",-0.692191349449835,-0.674429652986518,-0.503922135457899,-0.663380120176665,-3.81350739930631,-0.0178701956415925,-0.348581443975851,-0.452176935612156,-0.00391255332818864,-0.089392035489099
"24",-2.43055667754721,-2.42998836333366,-2.27907069590137,-2.46934497236697,-6.22083291580673,-2.16438615018704,-1.12303553416187,-1.36165703038429,-2.36698258985972,-2.37784905701466
"25",-1.37241269942739,-1.47540634460635,-1.22409492643161,-1.19311146830786,-7.53263541621975,-1.34177628045927,-0.560741117324626,-0.947050689999523,-1.37850005118573,-1.2013739279769
"26",-2.62598485289133,-2.97257863196481,-2.5278423026732,-2.53754991226672,-6.24271738187997,-2.26092023373214,-1.3108011357347,-1.61479442461131,-3.62275071875586,-1.88829040235227
"27",-2.53496599992377,-2.88783209599171,-2.6098795013558,-2.12710292074144,-7.48259180594872,-2.39620076541865,-1.35093892591049,-1.61271899241737,-3.06152927123573,-2.10811104630543
"28",-2.85891778579442,-3.08523510990974,-2.80943986106868,-2.68699116520375,-6.48151481935526,-2.86775414377305,-1.81038407409869,-1.85055498860459,-3.57578095970196,-2.41644170091114
"29",-2.03407693331221,-2.34239094048586,-1.97045316200542,-2.01112756647984,-7.53296116624278,-2.10904994056606,-1.16594873594853,-1.25202393590363,-2.33632970650123,-2.13185705123604
"30",-1.54268143580281,-1.89357736191054,-1.51880949814901,-1.51404426950888,-4.54164882759667,-1.741950762746,-0.903490842175274,-0.907872299353282,-1.36891123818027,-1.20448938040681
"31",0.135194514905575,0.21104997447964,0.3981252447127,0.371309505801736,-3.4769739951978,0.255214438793019,-0.0496686092724693,0.00412570288217744,-0.125184334716943,0.654614018007452
"32",-1.71977779460283,-1.54193737145982,-1.66323102111805,-1.53368650563523,-4.52463505579066,-1.76189916590268,-0.997533997465825,-1.15372284089399,-1.58165466001926,-1.4297280288015
"33",-2.16834531786031,-2.1475107004675,-1.88476008751384,-2.44887729774878,-5.76322025017576,-2.54057449585932,-1.2563673206292,-1.33139330093296,-1.83196310432574,-1.37075560547977
"34",-2.59862125166741,-2.91999070339233,-2.62978272441758,-2.28847875632125,-5.83177091504428,-2.19923938446754,-1.79947191906769,-1.51064172550155,-2.79392712877929,-2.10855359167939
"35",-2.17111635678206,-2.54631160632596,-2.0875586090008,-1.96318086789899,-4.69722759249498,-2.1316914495703,-1.06361153819256,-1.39109610761691,-2.91987897888307,-1.75423325550251
"36",-1.32253121286145,-1.52892974582138,-1.09576282648256,-1.30052564282705,-3.96011020347781,-1.41240780933237,-0.55907801867866,-0.732762313785806,-1.43894884174904,-1.30773956065352
"37",-4.94091445760723,-5.40822205298519,-4.94385914947247,-4.63915313195921,-8.93818387220566,-4.97378044834736,-3.59386106245618,-3.75815071451181,-5.77114749320365,-4.87063568049246
"38",-3.12445842992504,-3.47430364470048,-3.22777668233526,-2.88951582800912,-6.41832823659001,-2.90455451490371,-2.00800403707378,-2.49377353459663,-3.8933995921173,-3.4478253640904
"39",0.305066614593541,-0.0194112782004045,0.378529910223252,0.481655842920639,-3.10938148538168,0.678181712424481,0.197455858127681,-0.295710713743306,-0.387722999269816,0.0879713033222945
"40",-2.76522380442924,-3.1696379425507,-2.56266040794383,-2.53558110838583,-7.61281260110305,-2.70384992810962,-1.62389016776783,-1.83481578778726,-3.51346846586495,-2.20625201260399
"41",-1.67827185817525,-1.73110679372267,-1.38682340653869,-1.52834700841377,-5.16350133382523,-2.14571864674719,-0.783911145604799,-0.97752193927502,-1.84268552682628,-1.62681948689204
"42",-1.79984671318453,-2.19149021159755,-1.58985554897113,-1.63758016712802,-5.34411507231503,-1.60537082059845,-0.866003633374745,-1.1659651035474,-2.34674371439926,-1.26313368686126
"43",-3.44667201036418,-3.37778744837771,-3.39144190549678,-3.52803493260063,-8.64261218646101,-3.82092229284715,-2.26652458146738,-2.2412819992988,-3.54082820556674,-3.65788793333985
"44",-1.50805694138324,-1.66944144637131,-1.37497627252949,-1.33737353397847,-3.57591287807082,-1.96074652374764,-0.941489448955984,-0.986550719926403,-1.83678943633384,-1.15096824301687
"45",-3.14499881652223,-3.65597923568597,-3.17974154468322,-2.95705688813678,-6.35965179347076,-3.16473971076244,-2.2346945061303,-1.91414002945881,-3.90393205694279,-2.38799486155276
