"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",1.13106420200666,1.24608458865577,0.91444700769765,0.926142423000274,0.00527075363638043,0.00685191160313814,1.27548015911625,1.16952053344888,1.00745019176742,0.943865294039362,0.007355649246644,0.00718465075581928
"T-BART",1.29742762161158,1.45678219951945,1.45049727927864,1.55301312216752,0.00487292948804866,0.00659786265029924,1.56461043517047,1.75454270934303,1.91307799853114,1.84861983596964,0.00742928063962913,0.00773453979354529
"X-BART",1.27515307873823,1.65334769902979,1.85482487147097,1.86428898172673,0.00505225496739557,0.00655470588371182,1.39672065034314,1.35846963775602,1.90377442860742,1.90436893674671,0.00741084601201896,0.00795335267558107
"R-LASSO",1.28293616700269,1.49169807412913,1.84149247574796,1.84815155105728,0.00541176283601201,0.00674747271141521,1.42645944985282,1.33594145075642,1.79224195281832,1.61137145329717,0.00742906545953567,0.00727272926559801
"R-BOOST",2.41861761930267,2.66331146743874,1.92203862715531,1.90822807590563,0.00480102031593988,0.00659333327417652,2.18534374218576,2.20798887276377,1.69143464486135,1.60943665747548,0.0070002161657311,0.00787432542534864
"CF",1.1864894294962,1.31876182748267,1.73811381702868,1.77018671450343,0.00517301943562073,0.00704535223148786,1.26733763267545,1.13853958085423,1.73559280125498,1.70519453527276,0.00728420764746091,0.00812451312900942
"BCF",1.39893999949487,1.62263500750028,0.905653536159172,1.01965922053003,0.00518416232123593,0.00657539051711581,1.53002030920304,1.47864853010326,1.02844773983366,0.977733781175067,0.0074492326767894,0.00822565005036589
