"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF"
"1",0.00102007174997674,0.00103275235563338,0.00102414959286899,0.00101825430630896,0.000895514329692535,0.000976269006249267,0.00102651097549813
"2",0.00105435886930156,0.00105472662055166,0.00104906695825997,0.0010343980909377,0.000862141350880999,0.000993277876697391,0.00104979483797582
"3",0.00104697565138301,0.00104306949545515,0.00104291189653306,0.00103868968364559,0.000900442202508532,0.000991020460579526,0.00104029661126166
"4",0.00105318468778108,0.00105971823108116,0.00105455426385595,0.00103517185957121,0.0008824002034114,0.000996141892658079,0.00105761042522875
"5",0.00108970493434076,0.0010904752398447,0.00109030726884735,0.00108419990042339,0.000929640683970953,0.00104160865639428,0.00109195196884973
"6",0.00106290540111977,0.00106286032561897,0.00106146517298962,0.00105116460268888,0.00087954768840541,0.00102332991387568,0.00106250471360654
"7",0.00102865781098867,0.00103593778825036,0.00103041112464933,0.00101733752642174,0.000851814526783388,0.000974598096248875,0.00102616016779544
"8",0.00105098783866806,0.00105075167016363,0.00105128489677251,0.00104447899967011,0.000877923575644633,0.00099391210634151,0.00104622517626383
"9",0.00112145952688801,0.00112920393916608,0.00112212378749658,0.00110810091057639,0.000935280457765695,0.00106840262438313,0.00112502483132168
"10",0.00107676242733386,0.00107566918639673,0.00107584823892405,0.0010681811269352,0.000903967003975293,0.00102701349318179,0.00107494091105249
"11",0.00113083243047886,0.00113988657297147,0.001129835206193,0.00111174914834361,0.000945152765034772,0.00107326203826855,0.00112827374794987
"12",0.00107922641404901,0.00108449159981822,0.00108231687745184,0.00107249062905352,0.000894382265598411,0.00103580177982494,0.00108234123253915
"13",0.00108535697164135,0.00109897949571776,0.00109502218469038,0.00107484289320679,0.000904397197223486,0.00100168518525532,0.00108134113009812
"14",0.00104289892359379,0.00104344880861562,0.00103623933767891,0.00103230921562208,0.000865997033757891,0.000989913829602156,0.00104666287879803
"15",0.00105084506975081,0.00105420584724064,0.00105329803621512,0.00103989216757804,0.000860437815106015,0.00102113703971305,0.00104626056655601
"16",0.00111156479599732,0.00111349265633985,0.0011131792997609,0.00109526452945429,0.000926052642790633,0.00106566382673814,0.0011066010621041
"17",0.00107817945488977,0.00108116136996775,0.0010796795008981,0.00106546032058311,0.000891189882172285,0.00101424244515069,0.00107559720667245
"18",0.00103524775369478,0.00105161273823323,0.00104221964890443,0.0010268522789538,0.000871198689372704,0.000978512178958559,0.00103846009734941
"19",0.00112537628760287,0.00112586170575735,0.00112072221167486,0.00111702107797445,0.000937958428164819,0.00106418893546032,0.0011278570926564
"20",0.000968771444288415,0.000967818720446391,0.00096505114856528,0.000964123847810154,0.000797617933111833,0.000939902781514368,0.00096908257729509
"21",0.00107168574525369,0.00108545554861554,0.0010791023150247,0.0010631143622143,0.000888932058311274,0.00102349175338742,0.00107389560701211
"22",0.00100411652624954,0.00100555351860327,0.00100428758270695,0.000987534016219885,0.000834382410024613,0.000964233526569401,0.00100372990684151
"23",0.00106081414084253,0.00106400121175454,0.00106120003698541,0.00105242329280754,0.000884887565875668,0.0010276046251911,0.00105946050080019
"24",0.001099658264868,0.00110964424637929,0.00110713078421319,0.00109290638476916,0.00091812512203469,0.0010554569081063,0.00110176802691044
"25",0.00107886136367068,0.00109147932527996,0.00108544072693508,0.00107370543722825,0.00090368323715009,0.00102610398768303,0.00107904348016392
"26",0.00109973151034176,0.00110261747097111,0.00110535473772755,0.00108342683722555,0.000917327332387738,0.00105717718134637,0.00109690272381296
"27",0.00116954631736689,0.00117395883454866,0.00117146080966557,0.00116446752646381,0.000986883698965268,0.0011172101053426,0.00117373108485206
"28",0.00104667288353493,0.0010464499912941,0.00104511100982236,0.00103381784505635,0.000876043099875605,0.00101070275760346,0.00104827857026467
"29",0.00104278744760989,0.00104403781674995,0.00104429800161064,0.00102849765326008,0.000868630883408155,0.000985743190884233,0.00104692867513795
"30",0.00108630383754388,0.00109188431572787,0.00108710514466293,0.00108001868458603,0.000908579462585642,0.0010505474536032,0.00108412458776524
"31",0.00113509361251275,0.00114387157286971,0.00113972697229814,0.0011221961732944,0.000948062639770171,0.00108323859909363,0.00113068350713794
"32",0.00108711453027375,0.00108589467142562,0.00108493471876179,0.00107388232747716,0.000910411829597919,0.00103426559851382,0.00109047152923243
"33",0.00107166232722286,0.00107322282615483,0.00107155477276693,0.0010553401636631,0.000971458676933404,0.00100586013106271,0.00106713180467889
"34",0.000983360509757029,0.000983677349583216,0.000982372850996432,0.00097445750832528,0.000813542517381291,0.000936395731940455,0.000988080531722545
"35",0.00109699118398199,0.00111117774281833,0.00110380795351809,0.00108490780397575,0.000919592581750676,0.00102547012995139,0.00110096181050265
"36",0.00112408039015303,0.00112914598314598,0.00113005005123104,0.00111457068618968,0.000937573451045078,0.00106710857981024,0.00112886847659796
"37",0.00100692365209505,0.00101082863147636,0.0010132965402268,0.000999147599730161,0.000887520396011647,0.000978793543367997,0.00100840256073366
"38",0.0010406103982935,0.00103866470677911,0.00103733405811926,0.00103390322749793,0.000866458501344333,0.000992226513527696,0.00103928074610627
"39",0.00107502924196213,0.00107263383419866,0.00107380722804367,0.00106557936934736,0.000898998273947507,0.00102536964454674,0.00107290973993745
"40",0.00102788228767666,0.00103389054501783,0.00103346837591004,0.00101941842246183,0.000880708333227534,0.000988054847169457,0.00102495882632182
"41",0.00111755748737339,0.00112466849752381,0.00111996722190731,0.00110929300638908,0.000934954429798567,0.00103860573309611,0.00111601637881552
"42",0.00107394592803497,0.00107584088061405,0.0010748345321846,0.00106094782308514,0.000962095560139029,0.0010341056986622,0.00107819975584322
"43",0.00101052707470687,0.00101727829194036,0.00101512271638397,0.000994083453150281,0.000837283445673859,0.000955158878649263,0.00100479134148936
"44",0.00107503400797665,0.00108922763252388,0.00108286577887756,0.00106299575750843,0.000903913311067788,0.00101597769407003,0.001071893271743
"45",0.00102341146650469,0.00103456320509745,0.00102765802016758,0.00101967403230165,0.000858308812738265,0.00095568398408973,0.0010244214745693
"46",0.00107608759520839,0.00108007581558553,0.00107931763943614,0.00106397802217652,0.000896683322304899,0.00101013069936115,0.00108516457491601
"47",0.00104352341460787,0.00104773654502621,0.00104310173626997,0.00103422337775955,0.000912176800039772,0.000990435951997969,0.0010452283220511
"48",0.00111212293397332,0.00111203956383903,0.00110569703418796,0.00110164531560475,0.000923739096811959,0.00105862449789026,0.0011050826200223
"49",0.00109572621700412,0.00110737213554122,0.00110572025610843,0.00109133054316477,0.000912566180935681,0.00105465964056314,0.00109578838766066
"50",0.00111590859169739,0.00112220748958115,0.00111777847247636,0.00110374153918305,0.000940193917214725,0.00105394230270039,0.00110894572235083
"51",0.00110080475377584,0.00111070719777075,0.0011040542832038,0.00109121789650596,0.000911640263902142,0.00104982215344604,0.00109999914912939
