CMGP,NSGP
6.684744650270996e-05,3.614572421423853e-05
6.233417223320922e-05,2.070675586409024e-06
-4.732206002941145e-05,-3.908953128819904e-05
-6.132323261940597e-05,-5.422825314477399e-05
-2.2936907860609235e-05,-1.9978894598892317e-05
0.00014515777325898688,5.731419776844069e-05
2.5557386990631597e-06,-9.357103686181459e-05
0.00017800791277459518,3.1109514385961786e-05
,-1.9591236180175317e-05
-0.0001125268239567264,-0.00022689239847575033
-4.72225764306138e-05,-8.739637095765293e-05
1.1765909569176226e-07,-0.00012588794035722165
-1.1652937400745798e-05,2.4883956205178923e-05
-8.565665883394294e-05,-0.0001182088220902974
-5.7745007750609796e-05,-3.0399581211341857e-05
9.024167722588045e-06,-6.0344606192383945e-05
-3.050763410557986e-05,-2.1338052433892373e-05
-4.529962974764769e-05,-0.000123612923918558
6.640239544113613e-05,-0.00011391263152338791
-0.0001233202578278298,-0.0001260178497143143
-6.903383957423678e-05,-7.808184254624721e-05
-3.758059306025255e-05,0.00020839306022716816
-0.00010931475167734991,-8.78381289338586e-05
-0.0001439654118860585,-7.50551081789372e-05
-2.26961786207892e-05,-5.1328697526881165e-05
-4.7075884558808835e-05,-4.713088330926498e-05
-6.251396466910841e-06,-1.4292890239925764e-05
-7.755891118207094e-05,-7.517713632737294e-05
-0.00010597443032531095,-0.00010877327332034414
-0.0001108288537550603,-4.414166802235987e-05
-6.677117397220669e-05,-5.134469115118699e-05
9.189644173541598e-05,-3.3232729506648106e-05
-0.000119362013479608,-6.350332127648068e-05
-0.000145668858648835,-0.0001971644853974231
-9.838682877224325e-05,-9.042192718709196e-05
-8.636445252559871e-05,-9.172949387550908e-05
-6.658213682908086e-05,-7.946457266435689e-05
1.6708602274508948e-05,-9.65451758306252e-05
0.0001854380018335604,-3.8128977864783306e-05
-0.0001534824219862815,-3.774762893253342e-05
-3.388495501117747e-05,-3.897066952493545e-05
-5.869109059202275e-05,-4.673903142154569e-05
-2.3657504453104245e-05,-8.607196228029068e-05
-8.012604565991137e-05,-7.821177663984572e-05
1.2838310798392134e-05,-5.1233274239317956e-05
-6.275219075108223e-05,-4.8447351117343776e-05
-0.00011010719489026877,-0.00010679411855243556
-0.00013848490825414526,-8.26278258958919e-05
-7.400026030430828e-05,-0.0001236058900674997
8.19571635395926e-05,1.639992930689052e-05
-5.4726962375713074e-05,-0.00010186868259814581
0.00014248661615123468,-0.00013716273431902562
1.549093283743274e-05,-3.285605065664004e-05
0.00020995993151696725,-9.660268872784364e-05
-8.514615501611667e-05,-7.399244692999737e-05
-0.00020385613283979253,-0.00017498245605363394
-3.5294087563514664e-05,-2.2741054437773328e-05
-0.00010381439497404996,-7.62558074622784e-05
-0.00018301794384442127,-0.0001235185834383238
-0.00010647461697388059,-7.951293685011534e-05
3.39178696202704e-06,-5.105863652890234e-05
-9.76053836448186e-05,-6.555343600771019e-05
1.4218745593978188e-05,-8.994973065537274e-05
-0.00022204097492684808,-6.829872949884973e-05
-0.0003534126747978131,-0.00011647505356797411
-5.164581181679619e-05,-0.00024873473966134814
-7.973893986304996e-05,-8.828727935578513e-05
-9.083157709522953e-05,-0.00010144984636357159
-1.766073562207519e-05,4.0695183544282345e-06
-2.6794923961980823e-05,-9.896775594311869e-05
-7.805352638916463e-05,-3.102308504413449e-05
3.328961331216003e-06,-3.1270016086415576e-05
-1.5158888347879138e-07,-9.800137432728041e-05
-3.67375171593998e-05,-5.828586091091396e-05
-0.0001688638853015675,-0.00013170759110654599
-8.193514112859502e-05,-5.9173281032274984e-05
8.042550644196122e-05,1.6545300863446412e-05
-2.9696327973803255e-05,-0.00010174281868935341
-8.140225631100392e-05,-5.540334415573305e-05
7.548340818140767e-05,-2.791375257576363e-05
7.016110775286297e-05,9.69742371977832e-07
-0.0003644300933506652,-6.030661469124703e-05
-3.545455679137655e-05,-3.73587460117561e-05
-3.199493507448266e-05,3.4269026749078613e-06
-2.5160585291338022e-05,-3.405381999299532e-05
4.6575207027517756e-05,-6.226443357514857e-05
-4.289970693720756e-05,-9.274239580954112e-05
-4.921600458942592e-05,-5.222363218856015e-05
-8.458012982656899e-05,-4.839559570231206e-05
-8.689812273360989e-05,-9.564804119199888e-05
4.665689309969116e-05,2.300565413885891e-06
-0.00012934117184322676,-0.00015692981528674172
-4.188767728305712e-05,-5.5001443440035665e-05
-2.559585466422465e-06,3.276120435953512e-05
-5.836571125489298e-05,-5.61646570072923e-05
-5.0068377982317004e-05,-3.971932274363254e-05
7.346377299184241e-05,9.739896392396445e-06
-1.864149302854234e-05,-7.142252311774442e-05
4.1563857608744194e-05,4.60587884250039e-05
-0.00020745288809144997,-0.00012890960986279763
