"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.00101200130606101,-0.000396656862034481,0.0675176934432958,0.0760378979953743,0.000923173768070442,0.000938393892187688,-0.00235467422031839,-0.000326806875923312,0.072368965841824,0.0775081929703341,0.00107224630128701,0.00107945236323513
"T-BART",0.00378761986451692,0.00251797841813425,0.17595729596647,0.21011899493038,0.000922010415981342,0.000938337669659245,0.00587494827703104,0.00853866943729198,0.167067070228689,0.209826971037548,0.00107622281500008,0.00108815248597637
"X-BART",0.00319110320396964,0.000815235713648869,0.0726252387085164,0.0821520414952409,0.000922155455444183,0.000937940430873156,0.00235266325392854,0.00604564335849781,0.0877327430474173,0.0807766145583092,0.00107357654135693,0.00108163459932728
"R-LASSO",-0.00801019978000401,-0.0085662415832995,0.0922370902815163,0.093606385793186,0.000928691850649835,0.000943488381502602,-0.0254100274780944,-0.0255786684190137,0.10946457801121,0.107760373072918,0.00106134573916284,0.00106812256400044
"R-BOOST",0.0208165944028872,0.020080148088105,0.497140312256335,0.502811532648901,0.00101972152149455,0.00103659202097777,-0.180736591879344,-0.176943370355913,0.569828926600137,0.568343277462962,0.000897724794915357,0.000905555408806409
"CF",-0.000975553681885656,-0.00350533605364778,0.220820928716302,0.21948946085659,0.00094976654164617,0.000964667998808921,-0.0628149716763412,-0.0597252529836422,0.268273782360176,0.268172344727046,0.00102115977521341,0.00102810781458734
"BCF",0.0030311239278759,0.00242895966548957,0.107064225776375,0.124991083519932,0.000923253428727658,0.00093866676486738,-0.00196924752221528,0.00135933419106378,0.0990554296245638,0.122371156300536,0.00107288748193857,0.00108218488137104
