"","execution_time"
"S-BART",4.02200118435754
"T-BART",2.70831369161606
"X-BART",5.45687656799952
"R-LASSO",0.319357792536418
"R-BOOST",3.37756245533625
"CF",14.8834003607432
"BCF",5.15074302752813
"S-RF",1.25975624720256
"T-RF",1.03273018201192
"X-RF",1.70276109377543
