"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF"
"1",0.413276121418434,0.674680869231601,0.396113716700536,0.570277321635205,0.453902966810118,0.401619079202656,0.364451812307191
"2",0.415365877952166,0.469639145055616,0.296517090194124,0.59142141966195,0.619558653640578,0.394181982959891,0.329607395166583
"3",0.515095321532071,0.573895966426108,0.479935122581553,0.597125624568632,0.474849173050151,0.429310514675002,0.489990601318814
"4",0.510941410323867,0.665790494661122,0.479216713734122,0.700699031100975,0.411536856571698,0.501516597712829,0.406862120195002
"5",0.490058506912776,0.710260946691457,0.47657862820559,0.626776122160382,0.540613321864002,0.437916164462577,0.406630923338684
"6",0.508780119128051,0.535593244625019,0.438210663633046,0.615059880464509,0.587306743151551,0.469146025894648,0.394094202471349
"7",0.330800456264764,0.496911374604677,0.407719766637303,0.549561734422403,0.406641115763426,0.28907902606162,0.41714778024826
"8",0.492686291538363,0.499540041867704,0.414534962338812,0.600903716923136,0.459860049271336,0.415414445856707,0.420307502502423
"9",0.525423021455121,0.564748688266428,0.451510850705417,0.626336518464259,0.47563459172665,0.486772832043211,0.435738861046659
"10",0.543073518058918,0.665577502924544,0.520266269436761,0.615766851760024,0.582759994672587,0.548692792866951,0.403646997437128
