"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF"
"1",0.36242164562126,0.489781030040058,0.541369815564029,0.568234425728694,0.44019539711067,0.426415648779892,0.321326678150071
"2",0.412060074241957,0.447329488414059,0.370862276140451,0.562160524763551,0.541216931991977,0.439350273916575,0.287789655766819
"3",0.520748488008854,0.495888282355068,0.539842119975605,0.583763645597865,0.47535974120575,0.454044026565831,0.480812127897504
"4",0.417922433320222,0.460165701726612,0.445972176944512,0.648995334064679,0.354617667938456,0.465839280740003,0.368490262293576
"5",0.44956087015341,0.560526495384616,0.548849145086273,0.597517617289969,0.463048528690365,0.4287714483801,0.360161719532768
"6",0.520820724654529,0.462438090019897,0.48682497448411,0.552023645750026,0.539315174641985,0.487795508767781,0.355489385713714
"7",0.318999872353013,0.454615063705555,0.404842409379371,0.577195415607684,0.379425992121017,0.298912493111802,0.357388338285393
"8",0.490812574954959,0.489384924470868,0.463437950757689,0.589462961396477,0.464020208868855,0.427624276428177,0.368575967675323
"9",0.529868669526379,0.522634399261959,0.556236943270215,0.633397198714343,0.466225458957057,0.500457175194913,0.443422535550683
"10",0.551048397377521,0.501032573009061,0.561249404412866,0.64592017872133,0.499309809574648,0.567731918705246,0.39690498611518
