CMGP,NSGP,Logistic
0.10327441789665351,0.07851585970695885,0.7361396574566973
-6.232812605543397,-6.232881835717989,-5.771987404247453
-6.229221937463928,-6.220622355882621,-4.040016489293298
-4.438103208094843,-4.602750113457589,-4.646796158565755
-2.7840008709246926,-2.7911285035765387,-2.279274537250088
-1.3396683341791156,-1.3413142541971863,-1.0094226077329482
-2.8342602385289766,-2.9123496135426827,-3.1673994154854612
-3.549055222479727,-3.505936620016914,-2.8732183019359874
-2.292563556772957,-2.287531213620642,-1.2023791990182064
-0.005560382480416532,-0.006164119518323028,0.5080879587894781
-3.389592769504838,-3.29075437008853,-2.845047590626296
-5.063943514707495,-5.058733228313711,-4.370578146565609
-2.271475448127583,-2.2876299370654274,-1.3199125395436817
-7.109249086223893,-7.085960165332622,-7.75359733625705
-6.520589435721844,-6.52668024985393,-5.789713108760929
-0.8489956844729528,-0.8479059404369437,-0.241178017028974
-2.755446089287899,-2.763373244690353,-2.1018708725646427
-2.4638033646281596,-2.458197186113903,-2.628054999396366
-2.5923058899247318,-2.5896363986690893,-1.7368305173873095
-1.6107874555745996,-1.6119698178091117,-0.720876863921769
-6.213546120475906,-6.213612505943847,-4.925833283219143
-6.710655705557009,-6.708357167785701,-5.247996107143402
-4.232850970445276,-4.277769852286224,-2.070143689108269
-2.3265457468625788,-2.3107323142884613,-2.272652012329256
-3.5315949942623095,-3.5384525639598037,-1.84659645893507
-4.521923340807022,-4.530671983046557,-4.200828152375022
-2.8666182004363385,-2.860478702913476,-3.4251285207940287
-3.383725959323698,-3.3788766958890712,-2.5409017841987516
0.3500026069841301,0.3491837195323928,0.6187390189615731
-4.488110395931174,-4.475921049336672,-4.688225377210023
-7.744453654288896,-7.718074233058697,-7.264474474181963
-1.0983164635251903,-1.1026069620045849,-0.8948108188034759
-5.872346510459959,-6.230396075780049,-6.433161629205963
-4.013742955783022,-4.0114869934549295,-3.2968716840402412
-4.930942716648309,-4.9365567563499,-3.223124108430518
-3.444693798348317,-3.4447814685187343,-2.4994375671071953
-4.509469076731974,-4.503251593532124,-5.004893581167482
-2.7962552895150083,-2.7629665120261073,-2.937390906481496
-3.1121655230774787,-3.1153008153668162,-2.74646987968401
-5.377075519453849,-5.521175247840532,-4.539360477738376
-3.9164682060977922,-3.9131247814426495,-3.0429063105352543
-3.039335354638624,-3.0168153639340205,-2.0285408665489286
-4.7590911873518165,-4.761313631887896,-2.9163562478462177
-2.1398998164817904,-2.1602309178701042,-2.0152920742861213
-4.042684466192503,-4.06241383795421,-3.471198249738908
-0.41997084152704056,-0.4192024266339219,-0.10145279868880507
-0.9573003456394735,-0.9381532890495826,-1.0108916084934325
-3.2150601542103323,-3.1868800100703347,-2.6682342887331973
-3.0841594286550262,-3.612595632477131,-2.755652261037046
-1.034804226314625,-1.2643525948814827,-1.9103474553835604
-2.6380856006554967,-2.5085866055714896,-1.7977451555004673
-4.67058982595524,-4.61338669998195,-2.8065560676410763
-2.558128458586762,-2.539484448849232,-2.9885866362420868
-5.455781914340552,-5.453569146045369,-4.433461574795941
-4.834922804009951,-4.8261167449878215,-4.634444651782785
-2.6693707397001325,-2.6932174518518224,-1.6644031330712838
-1.5890120176398652,-1.561480267360503,-2.682554740834041
-6.996142941452578,-6.985932926467673,-7.744848387648067
-0.3069791585712082,-0.2512170764901986,1.2837566386113504
-1.2525931752227257,-1.2383099344535415,-0.9039825783493689
-1.371686966119545,-1.3783011310457787,-1.2034907210455366
-5.753026700069135,-5.752799743910429,-5.201169132907152
-0.8625632225223482,-0.949849975733917,-0.5045176037772144
-3.993298963752366,-4.000143859043884,-3.5484175663679602
-4.611793357866315,-4.626891819048518,-4.11167945188898
-4.331338887450344,-4.26622340958507,-4.195546377471721
-3.7984238433277597,-3.7694143180470627,-3.0297126756748423
-0.5353505780046418,-0.5919728052992903,-0.6328066799194986
-4.689109503059368,-3.2837830199808242,-3.825831570802631
-6.600165749365396,-6.58857425097755,-5.865487166618931
-1.8963837489546878,-1.927980646207238,-1.9600027292296507
-1.7901236358164156,-1.7901442408507946,-1.8387746194869217
-4.627215902908621,-4.632488393635817,-3.584627271211047
-2.403210488449708,-2.4044353038015074,-0.45729852759850764
-3.269001465103117,-3.170673934480443,-2.897620418377917
-5.800821488571072,-4.803222105670908,-5.534371698252116
-0.5192123265037278,-0.5185962777796871,0.42023125142248446
-2.085524986203336,-2.1123621173191878,-1.8883225774280938
-1.9885652550891848,-1.9775024961557301,-2.144268395000375
-3.0643767222004428,-3.061603909700187,-2.8271492775483344
